X_Length,X_Width,Y_Length,Y_Width,Species,Label
5.1,3.5,1.4,0.2,setosa,label_1
4.9,3,1.4,0.2,setosa,label_2
4.7,3.2,1.3,0.2,setosa,label_3
4.6,3.1,1.5,0.2,setosa,label_4
5,3.6,1.4,0.2,setosa,label_5
5.4,3.9,1.7,0.4,setosa,label_6
4.6,3.4,1.4,0.3,setosa,label_7
5,3.4,1.5,0.2,setosa,label_8
4.4,2.9,1.4,0.2,setosa,label_9
4.9,3.1,1.5,0.1,setosa,label_10
5.4,3.7,1.5,0.2,setosa,label_11
4.8,3.4,1.6,0.2,setosa,label_12
4.8,3,1.4,0.1,setosa,label_13
4.3,3,1.1,0.1,setosa,label_14
5.8,4,1.2,0.2,setosa,label_15
5.7,4.4,1.5,0.4,setosa,label_16
5.4,3.9,1.3,0.4,setosa,label_17
5.1,3.5,1.4,0.3,setosa,label_18
5.7,3.8,1.7,0.3,setosa,label_19
5.1,3.8,1.5,0.3,setosa,label_20
5.4,3.4,1.7,0.2,setosa,label_21
5.1,3.7,1.5,0.4,setosa,label_22
4.6,3.6,1,0.2,setosa,label_23
5.1,3.3,1.7,0.5,setosa,label_24
4.8,3.4,1.9,0.2,setosa,label_25
5,3,1.6,0.2,setosa,label_26
5,3.4,1.6,0.4,setosa,label_27
5.2,3.5,1.5,0.2,setosa,label_28
5.2,3.4,1.4,0.2,setosa,label_29
4.7,3.2,1.6,0.2,setosa,label_30
4.8,3.1,1.6,0.2,setosa,label_31
5.4,3.4,1.5,0.4,setosa,label_32
5.2,4.1,1.5,0.1,setosa,label_33
5.5,4.2,1.4,0.2,setosa,label_34
4.9,3.1,1.5,0.2,setosa,label_35
5,3.2,1.2,0.2,setosa,label_36
5.5,3.5,1.3,0.2,setosa,label_37
4.9,3.6,1.4,0.1,setosa,label_38
4.4,3,1.3,0.2,setosa,label_39
5.1,3.4,1.5,0.2,setosa,label_40
5,3.5,1.3,0.3,setosa,label_41
4.5,2.3,1.3,0.3,setosa,label_42
4.4,3.2,1.3,0.2,setosa,label_43
5,3.5,1.6,0.6,setosa,label_44
5.1,3.8,1.9,0.4,setosa,label_45
4.8,3,1.4,0.3,setosa,label_46
5.1,3.8,1.6,0.2,setosa,label_47
4.6,3.2,1.4,0.2,setosa,label_48
5.3,3.7,1.5,0.2,setosa,label_49
5,3.3,1.4,0.2,setosa,label_50
7,3.2,4.7,1.4,versicolor,label_51
6.4,3.2,4.5,1.5,versicolor,label_52
6.9,3.1,4.9,1.5,versicolor,label_53
5.5,2.3,4,1.3,versicolor,label_54
6.5,2.8,4.6,1.5,versicolor,label_55
5.7,2.8,4.5,1.3,versicolor,label_56
6.3,3.3,4.7,1.6,versicolor,label_57
4.9,2.4,3.3,1,versicolor,label_58
6.6,2.9,4.6,1.3,versicolor,label_59
5.2,2.7,3.9,1.4,versicolor,label_60
5,2,3.5,1,versicolor,label_61
5.9,3,4.2,1.5,versicolor,label_62
6,2.2,4,1,versicolor,label_63
6.1,2.9,4.7,1.4,versicolor,label_64
5.6,2.9,3.6,1.3,versicolor,label_65
6.7,3.1,4.4,1.4,versicolor,label_66
5.6,3,4.5,1.5,versicolor,label_67
5.8,2.7,4.1,1,versicolor,label_68
6.2,2.2,4.5,1.5,versicolor,label_69
5.6,2.5,3.9,1.1,versicolor,label_70
5.9,3.2,4.8,1.8,versicolor,label_71
6.1,2.8,4,1.3,versicolor,label_72
6.3,2.5,4.9,1.5,versicolor,label_73
6.1,2.8,4.7,1.2,versicolor,label_74
6.4,2.9,4.3,1.3,versicolor,label_75
6.6,3,4.4,1.4,versicolor,label_76
6.8,2.8,4.8,1.4,versicolor,label_77
6.7,3,5,1.7,versicolor,label_78
6,2.9,4.5,1.5,versicolor,label_79
5.7,2.6,3.5,1,versicolor,label_80
5.5,2.4,3.8,1.1,versicolor,label_81
5.5,2.4,3.7,1,versicolor,label_82
5.8,2.7,3.9,1.2,versicolor,label_83
6,2.7,5.1,1.6,versicolor,label_84
5.4,3,4.5,1.5,versicolor,label_85
6,3.4,4.5,1.6,versicolor,label_86
6.7,3.1,4.7,1.5,versicolor,label_87
6.3,2.3,4.4,1.3,versicolor,label_88
5.6,3,4.1,1.3,versicolor,label_89
5.5,2.5,4,1.3,versicolor,label_90
5.5,2.6,4.4,1.2,versicolor,label_91
6.1,3,4.6,1.4,versicolor,label_92
5.8,2.6,4,1.2,versicolor,label_93
5,2.3,3.3,1,versicolor,label_94
5.6,2.7,4.2,1.3,versicolor,label_95
5.7,3,4.2,1.2,versicolor,label_96
5.7,2.9,4.2,1.3,versicolor,label_97
6.2,2.9,4.3,1.3,versicolor,label_98
5.1,2.5,3,1.1,versicolor,label_99
5.7,2.8,4.1,1.3,versicolor,label_100
6.3,3.3,6,2.5,virginica,label_a
5.8,2.7,5.1,1.9,virginica,label_b
7.1,3,5.9,2.1,virginica,label_c
6.3,2.9,5.6,1.8,virginica,label_d
6.5,3,5.8,2.2,virginica,label_e
7.6,3,6.6,2.1,virginica,label_f
4.9,2.5,4.5,1.7,virginica,label_g
7.3,2.9,6.3,1.8,virginica,label_h
6.7,2.5,5.8,1.8,virginica,label_i
7.2,3.6,6.1,2.5,virginica,label_j
6.5,3.2,5.1,2,virginica,label_k
6.4,2.7,5.3,1.9,virginica,label_l
6.8,3,5.5,2.1,virginica,label_m
5.7,2.5,5,2,virginica,label_n
5.8,2.8,5.1,2.4,virginica,label_o
6.4,3.2,5.3,2.3,virginica,label_p
6.5,3,5.5,1.8,virginica,label_q
7.7,3.8,6.7,2.2,virginica,label_r
7.7,2.6,6.9,2.3,virginica,label_s
6,2.2,5,1.5,virginica,label_t
6.9,3.2,5.7,2.3,virginica,label_u
5.6,2.8,4.9,2,virginica,label_v
7.7,2.8,6.7,2,virginica,label_w
6.3,2.7,4.9,1.8,virginica,label_x
6.7,3.3,5.7,2.1,virginica,label_y
7.2,3.2,6,1.8,virginica,label_z
